product_id,name,brand,category,price,stock,rating
1,J. Trouser,J.,Trouser,6617,73,4.2
2,Levis T-Shirt,Levis,T-Shirt,5632,43,4.9
3,Gul Ahmed Jeans,Gul Ahmed,Jeans,7411,51,4.6
4,Levis Shirt,Levis,Shirt,7072,140,4.8
5,Levis Jacket,Levis,Jacket,7099,137,3.7
6,Bonanza Trouser,Bonanza,Trouser,4800,73,4.4
7,Bonanza Hoodie,Bonanza,Hoodie,8029,98,3.7
8,Outfitters Jeans,Outfitters,Jeans,6382,71,4.2
9,J. Hoodie,J.,Hoodie,5158,131,3.8
10,Ideas Kurta,Ideas,Kurta,6070,49,3.7
11,Levis Kurta,Levis,Kurta,6606,42,5.0
12,Ideas Hoodie,Ideas,Hoodie,5656,132,4.8
13,Khaadi Shirt,Khaadi,Shirt,7578,58,4.4
14,Bonanza Shirt,Bonanza,Shirt,4924,55,3.8
15,Ideas Jeans,Ideas,Jeans,6174,37,3.9
16,J. Hoodie,J.,Hoodie,7804,64,4.7
17,J. T-Shirt,J.,T-Shirt,1851,29,4.4
18,Breakout Jacket,Breakout,Jacket,6149,51,3.9
19,Bonanza Jeans,Bonanza,Jeans,1870,130,4.5
20,Bonanza T-Shirt,Bonanza,T-Shirt,4293,108,3.7
21,Bonanza Kurta,Bonanza,Kurta,8125,137,4.0
22,J. Trouser,J.,Trouser,6519,148,4.7
23,Gul Ahmed Jacket,Gul Ahmed,Jacket,3331,45,4.5
24,Outfitters Jeans,Outfitters,Jeans,8409,65,4.7
25,Gul Ahmed T-Shirt,Gul Ahmed,T-Shirt,5087,49,4.3
26,Outfitters Hoodie,Outfitters,Hoodie,2442,52,5.0
27,Ideas Shirt,Ideas,Shirt,1899,7,3.5
28,Levis T-Shirt,Levis,T-Shirt,3122,117,4.2
29,Levis Trouser,Levis,Trouser,8330,176,3.8
30,Khaadi Shirt,Khaadi,Shirt,2119,184,4.0
31,Khaadi Jeans,Khaadi,Jeans,2729,131,4.1
32,Gul Ahmed Trouser,Gul Ahmed,Trouser,2137,72,3.6
33,Bonanza Hoodie,Bonanza,Hoodie,4885,37,4.8
34,Bonanza Jacket,Bonanza,Jacket,3241,24,3.9
35,Ideas Hoodie,Ideas,Hoodie,8131,130,4.8
36,Ideas Kurta,Ideas,Kurta,1985,197,4.5
37,Outfitters Jacket,Outfitters,Jacket,4774,116,4.6
38,J. Jacket,J.,Jacket,6559,177,3.8
39,Khaadi Hoodie,Khaadi,Hoodie,3054,98,4.5
40,Outfitters Trouser,Outfitters,Trouser,6453,121,4.7
41,Khaadi Trouser,Khaadi,Trouser,4394,170,3.9
42,Ideas Jacket,Ideas,Jacket,3552,19,5.0
43,Bonanza Jacket,Bonanza,Jacket,6106,198,3.5
44,J. Shirt,J.,Shirt,8378,101,4.2
45,Ideas Shirt,Ideas,Shirt,3696,68,4.7
46,Outfitters Kurta,Outfitters,Kurta,8341,37,4.1
47,Khaadi Hoodie,Khaadi,Hoodie,1949,10,3.9
48,Gul Ahmed Jacket,Gul Ahmed,Jacket,6177,154,4.0
49,Bonanza Trouser,Bonanza,Trouser,7593,150,3.5
50,Levis Jeans,Levis,Jeans,2094,84,3.9
51,Breakout Jeans,Breakout,Jeans,7359,81,3.7
52,Outfitters Hoodie,Outfitters,Hoodie,3439,52,4.3
53,Bonanza Jacket,Bonanza,Jacket,7474,82,4.3
54,Breakout Shirt,Breakout,Shirt,3810,108,4.6
55,Gul Ahmed Jeans,Gul Ahmed,Jeans,6935,167,4.7
56,Ideas Trouser,Ideas,Trouser,5266,26,4.6
57,J. Kurta,J.,Kurta,3262,31,3.8
58,J. Jacket,J.,Jacket,6830,119,3.6
59,Gul Ahmed Shirt,Gul Ahmed,Shirt,5285,81,4.5
60,Gul Ahmed T-Shirt,Gul Ahmed,T-Shirt,1985,122,4.9
61,Levis Jeans,Levis,Jeans,6980,120,4.6
62,Ideas T-Shirt,Ideas,T-Shirt,2719,194,4.1
63,Breakout Shirt,Breakout,Shirt,4917,156,4.0
64,Levis Jacket,Levis,Jacket,8445,102,4.1
65,Gul Ahmed Jeans,Gul Ahmed,Jeans,2887,97,4.4
66,Bonanza Hoodie,Bonanza,Hoodie,4056,40,4.8
67,Ideas Shirt,Ideas,Shirt,1735,61,4.1
68,Ideas Jacket,Ideas,Jacket,8242,90,4.7
69,Levis T-Shirt,Levis,T-Shirt,1821,192,3.9
70,Levis Jeans,Levis,Jeans,4219,182,4.6
71,J. Shirt,J.,Shirt,2034,5,3.7
72,Breakout Hoodie,Breakout,Hoodie,5201,115,4.6
73,Breakout Kurta,Breakout,Kurta,2034,70,4.3
74,Breakout Hoodie,Breakout,Hoodie,5346,141,4.3
75,Breakout Trouser,Breakout,Trouser,2441,14,4.4
76,J. Jeans,J.,Jeans,2188,21,3.5
77,Ideas T-Shirt,Ideas,T-Shirt,2197,153,4.4
78,Ideas Jeans,Ideas,Jeans,1666,181,4.6
79,Bonanza Jacket,Bonanza,Jacket,6240,180,4.3
80,Ideas T-Shirt,Ideas,T-Shirt,2600,173,3.6
81,Breakout Shirt,Breakout,Shirt,5947,168,3.7
82,Levis Jacket,Levis,Jacket,7407,178,3.9
83,Outfitters Hoodie,Outfitters,Hoodie,3280,163,4.7
84,Levis Hoodie,Levis,Hoodie,5259,81,4.4
85,Levis Jeans,Levis,Jeans,2792,11,4.5
86,Outfitters Shirt,Outfitters,Shirt,8052,171,3.9
87,Breakout Hoodie,Breakout,Hoodie,4773,18,3.8
88,Bonanza Hoodie,Bonanza,Hoodie,1716,122,4.6
89,Bonanza Hoodie,Bonanza,Hoodie,3416,40,3.7
90,Outfitters Jeans,Outfitters,Jeans,3720,192,3.9
91,Bonanza Trouser,Bonanza,Trouser,3452,46,4.4
92,Gul Ahmed Jeans,Gul Ahmed,Jeans,6884,64,3.9
93,Breakout Shirt,Breakout,Shirt,4795,8,3.7
94,Gul Ahmed Jeans,Gul Ahmed,Jeans,4796,62,4.7
95,J. Shirt,J.,Shirt,2135,10,4.3
96,Ideas Jacket,Ideas,Jacket,7167,91,4.2
97,Khaadi Hoodie,Khaadi,Hoodie,5700,24,3.6
98,Outfitters Trouser,Outfitters,Trouser,5722,88,3.9
99,J. T-Shirt,J.,T-Shirt,4199,96,4.6
100,Khaadi Shirt,Khaadi,Shirt,3161,76,3.7
101,Breakout Jacket,Breakout,Jacket,1903,69,4.8
102,Ideas Hoodie,Ideas,Hoodie,1923,70,3.9
103,Gul Ahmed Kurta,Gul Ahmed,Kurta,8431,166,4.2
104,Bonanza Jeans,Bonanza,Jeans,6868,162,4.8
105,Levis Jeans,Levis,Jeans,2770,200,4.8
106,Outfitters Shirt,Outfitters,Shirt,2586,73,4.9
107,Bonanza T-Shirt,Bonanza,T-Shirt,5908,113,3.7
108,Ideas Trouser,Ideas,Trouser,4303,151,4.2
109,Khaadi Shirt,Khaadi,Shirt,4335,130,3.7
110,J. Kurta,J.,Kurta,3810,117,3.6
111,Breakout Kurta,Breakout,Kurta,6806,63,4.5
112,Khaadi Kurta,Khaadi,Kurta,2449,156,4.1
113,Khaadi Kurta,Khaadi,Kurta,3342,74,5.0
114,Khaadi T-Shirt,Khaadi,T-Shirt,7891,136,4.7
115,Breakout Kurta,Breakout,Kurta,4257,136,4.7
116,Bonanza Jacket,Bonanza,Jacket,1907,15,4.7
117,Breakout Trouser,Breakout,Trouser,2320,109,4.6
118,Levis T-Shirt,Levis,T-Shirt,5111,48,3.8
119,Khaadi Trouser,Khaadi,Trouser,5751,121,4.3
120,Levis Shirt,Levis,Shirt,1559,86,3.5
121,Khaadi T-Shirt,Khaadi,T-Shirt,7147,93,3.9
122,Ideas Jeans,Ideas,Jeans,3578,174,4.2
123,J. Kurta,J.,Kurta,8101,115,4.0
124,Bonanza T-Shirt,Bonanza,T-Shirt,4604,21,3.5
125,Bonanza Shirt,Bonanza,Shirt,7816,48,4.6
126,J. Trouser,J.,Trouser,7981,22,3.9
127,Gul Ahmed Hoodie,Gul Ahmed,Hoodie,8372,124,3.9
128,J. T-Shirt,J.,T-Shirt,8417,56,4.1
129,Levis Shirt,Levis,Shirt,6988,69,4.8
130,Gul Ahmed Shirt,Gul Ahmed,Shirt,4432,159,5.0
131,Gul Ahmed Shirt,Gul Ahmed,Shirt,6020,154,4.9
132,Levis Shirt,Levis,Shirt,2058,119,4.8
133,Ideas Jeans,Ideas,Jeans,3902,84,4.6
134,Breakout Trouser,Breakout,Trouser,4165,51,3.6
135,J. Jeans,J.,Jeans,7807,25,4.9
136,Breakout Kurta,Breakout,Kurta,6043,43,4.4
137,Gul Ahmed Jeans,Gul Ahmed,Jeans,2978,81,4.3
138,Bonanza Jacket,Bonanza,Jacket,5854,173,4.2
139,Outfitters Shirt,Outfitters,Shirt,6339,38,3.6
140,Gul Ahmed Hoodie,Gul Ahmed,Hoodie,1568,56,4.9
141,Khaadi Shirt,Khaadi,Shirt,4753,13,4.7
142,Breakout Hoodie,Breakout,Hoodie,5738,5,4.7
143,Gul Ahmed Hoodie,Gul Ahmed,Hoodie,2436,44,3.7
144,Breakout T-Shirt,Breakout,T-Shirt,7972,54,4.8
145,Breakout Kurta,Breakout,Kurta,7506,54,4.4
146,Outfitters Shirt,Outfitters,Shirt,6571,173,4.7
147,Khaadi Hoodie,Khaadi,Hoodie,5790,11,4.7
148,Outfitters Hoodie,Outfitters,Hoodie,1980,149,3.6
149,Breakout Kurta,Breakout,Kurta,5575,162,3.6
150,Gul Ahmed Jacket,Gul Ahmed,Jacket,2855,23,4.1
151,J. Jacket,J.,Jacket,3983,64,3.8
152,Khaadi Jeans,Khaadi,Jeans,3175,176,4.8
153,J. Hoodie,J.,Hoodie,7965,186,4.6
154,Khaadi Jeans,Khaadi,Jeans,3409,5,4.4
155,J. Trouser,J.,Trouser,5411,110,4.2
156,J. Kurta,J.,Kurta,3923,138,4.2
157,Breakout Jacket,Breakout,Jacket,5546,116,4.2
158,Gul Ahmed Trouser,Gul Ahmed,Trouser,7570,50,3.9
159,Outfitters Hoodie,Outfitters,Hoodie,5742,123,4.8
160,Outfitters Kurta,Outfitters,Kurta,7029,5,4.5
161,Khaadi Kurta,Khaadi,Kurta,4326,76,4.7
162,Bonanza Kurta,Bonanza,Kurta,5205,149,4.2
163,Ideas Hoodie,Ideas,Hoodie,2224,155,3.7
164,Khaadi Jeans,Khaadi,Jeans,4739,169,3.6
165,Outfitters Jacket,Outfitters,Jacket,8086,174,5.0
166,Levis Jeans,Levis,Jeans,6520,155,4.3
167,Gul Ahmed Jacket,Gul Ahmed,Jacket,7617,133,4.5
168,Gul Ahmed Kurta,Gul Ahmed,Kurta,3730,38,4.1
169,Ideas Jeans,Ideas,Jeans,8296,68,3.9
170,Levis Hoodie,Levis,Hoodie,6340,162,4.6
171,Bonanza T-Shirt,Bonanza,T-Shirt,3313,105,4.8
172,Breakout Kurta,Breakout,Kurta,2095,189,4.3
173,Outfitters Trouser,Outfitters,Trouser,6876,13,3.9
174,Khaadi Hoodie,Khaadi,Hoodie,3768,88,4.7
175,Khaadi Kurta,Khaadi,Kurta,5592,76,3.8
176,Bonanza Hoodie,Bonanza,Hoodie,7197,44,3.6
177,Gul Ahmed Shirt,Gul Ahmed,Shirt,8066,30,3.9
178,Bonanza Jacket,Bonanza,Jacket,2119,111,3.6
179,J. Jacket,J.,Jacket,1922,162,3.8
180,Gul Ahmed Jacket,Gul Ahmed,Jacket,6036,106,4.1
181,J. Jacket,J.,Jacket,6947,64,3.7
182,Ideas Jacket,Ideas,Jacket,5674,174,4.0
183,J. Trouser,J.,Trouser,6464,191,4.3
184,Levis Trouser,Levis,Trouser,7461,98,4.9
185,Outfitters Hoodie,Outfitters,Hoodie,2588,64,3.7
186,Khaadi Hoodie,Khaadi,Hoodie,7617,196,4.9
187,Khaadi Hoodie,Khaadi,Hoodie,3780,164,3.7
188,Outfitters Hoodie,Outfitters,Hoodie,4407,63,4.7
189,Gul Ahmed T-Shirt,Gul Ahmed,T-Shirt,6636,194,3.9
